Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
ПОСЛЕДНАТА ПРОЛЕТ ВО ПАРИЗ,,Романи,Јелена Бачиќ-Алимпиќ,Матица,,,450 ден.
КЛУБОТ МЕФИСТО,,Трилери,Тес Геритсен,Матица,,,630 ден.
ВЕРОНИКА РЕШИ ДА УМРЕ,"На прв поглед Вероника има сè што може да посака. Ги посетува популарните ноќни клубови се запознава и се забавува со привлечни млади мажи меѓутоа сепак не е среќна нешто ѝ недостига во животот.
Затоа, на 11 ноември, решава да умре. Откако ќе земе преголема доза апчиња, дознава дека ќе живее само уште неколку денови… И токму тогаш, кога го преживува она што никогаш не си го дозволила - љубовта, омразата, стравот, љубопитството - сфаќа дека секоја секунда од нејзиното постоење е личен избор меѓу животот и смртта. А нејзиниот избор е...да живее.
Ми се допаѓа овој роман на Коелјо. Навистина длабоко ме потресе. Умберто Еко",Романи,Пауло Коелјо,ТРИ,,,320 ден.
БЕЗМАТИЧНИК,"Зборовите на мајка ми никогаш не беа туѓи. Сите влегуваа во мојот јазик, во кој ќе останат засекогаш.
Во брилијантната проза на Мира Марќинув сè е непредвидливо и чудно, а најчудна е смртта што не треба да се случи. Иако на децата им се чини дека нивните мајки секогаш треба да бидат со нив, во светот постојат две крајни, непредвидливи околности: се умира со трагична смрт или по долго страдање.
Во „Безматичник“ Мира Марќинув се обидува да изнајде нов јазик за да ја опише загубата на саканата личност. Интимноста и недостигот таа ги претвора во книжевност: моќна, духовита и истовремено треперлива, сурово искрена, полна со нежност и копнеж…  иако огромната празнина не може лесно да се пополни.
„Безматичник“ е обид да се пронајде и да се разбере љубовта, желбата да се живее и бегството од смртта. Енергичен роман за отсуството, сеќавањата, детството во посттранзициската реалност на 90-тите години. За една безмерна љубов каква што може да се случи само меѓу мајка и нејзината ќерка, која се чувствува како пчела што ја изгубила својата матица.",Романи,Мира Марќинув,ТРИ,2025,256,400 ден.
МОЛИТВА ЗА ПРОШКА,,Романи,Јелена Бачиќ Алимпиќ,Матица,,,390 ден.
СТРАВ ОД ВАРВАРИ,"Неколку дена по падот на Берлинскиот ѕид, додека цела Европа е во исчекување што е следно, на најјужната точка на Европа постои еден остров каде малкуте луѓе кои останале таму, живеат заборавени од сите. Нив историјата постојано ги одминува, ги одминале и лепрата и гладот, и таман кога ќе помислат дека и овој пат ќе ги одмине историјата, на островот пристигаат тројца странци. Двајца мажи и една жена. И ништо повеќе не е исто.",Романи,Петар Андоновски,Или-Или,,,250 ден.
ДЕВОЈКАТА ШТО ПИШУВАШЕ НА СВИЛА,"На островот Оркас штотуку дипломираната Инара Ериксон го истражува имотот на својата неодамна почината тетка која ѝ го оставила во наследство. Случајно наоѓа внимателно скриено извезено парче свила. Додека ги разоткрива слој по слој тајните што тоа ги крие животот почнува да ѝ се испреплетува со животот на Меј Лиен младата Кинезинка што пред повеќе од еден век била протерана од својот дом. Низ приказните што Меј Лиен ги раскажува везејќи ја свилата Инара ја дознава трагичната вистина што длабоко ќе го потресе нејзиното семејство а неа ќе ја натера да се осмели на незамислив чекор...
Инспириран од вистински настани, брилијантниот историски роман на Кели Естиз е потресна приказна за две жени поврзани со времето и судбината. Жени со силен дух и достоинство, цврсто решени да постапат правилно, независно од цената што треба да ја платат. Зашто додека не се каже вистината за минатото, не може да се најде спокој во сегашноста.
„Девојката што пишуваше на свила е преубав, елегичен роман, извезен фино и деликатно, токму како што навестува и самиот наслов. Кели Естиз ткае волшебна приказна што го осветлува минатото во сета негова суровост и убавина, како и човечноста што нè спојува сите нас.“ Сиетл викли",Романи,Кели Естиз,ТРИ,,,450 ден.
МАСКАРАДА,"Минуваат 120 години од раѓањето на Витолд Гомбрович (1904 – 1969), еден од најенигматичните, најконтроверзните и најуникатните автори и мислители во полската и во европската литература на XX век. Предмет на постојани реинтерпретации, толкувања, анализи… Имено, годишнинава решивме да ја одбележиме со „омнибус“ издание што го содржи неговиот целокупен белетристички опус (освен романот „Проколнати“, кој го објавил под псевдоним). Додека книжевниот свет веќе полека ги заборава голем дел од неговите современици, Витолд Гомбрович никако да му се предаде на забот на времето. До ден-денеска е актуелен во својата родна земја, но и во светски рамки. Сѐ уште се читаат неговите прозни дела, во театрите се поставуваат неговите драми, а според неговите романи се снимаат и филмови. Како да е малку сето тоа, Гомбрович е автор (иако во животен спор со родната земја) што во својата земја е многу присутен и во поп-културата. Често можат да се сретнат и разни форми на експериментален уметнички израз, инспирирани токму од неговото творештво. […] Гомбрович, општо несфатен од своите современици, ни се покажува современ нам, жителите на подоцнежната или „флуидна“ современост, во која – како што пишува Зигмунт Бауман – паднаа сите кодекси и секој мора на своја рака да решава спознајни и етички дилеми. Па, оттука, да се послужиме со зборовите на Чеслав Милош: „Делото на Гомбрович не може да биде мерено со изминувањето на неколку декади. Тоа е споменик на полската проза…“.",Романи,Витолд Гомбрович,Бегемот,2024,781,1.000 ден.
ПАПОКОТ НА СВЕТОТ,"ЧЕТИРИНАЕСЕТТО ИЗДАНИЕ НА КУЛТНИОТ РОМАН НА ВЕНКО АНДОНОВСКИ
Романот се состои од вовед, наводно напишан од братот на извесен В., на кој се
надоврзуваат книгата „Папокот на светот“ (манускриптот на романот), книгата
„Исход“ и книгата „Светлина“ (Записите од дневникот), по кои следува поговор
од книжевниот теоретичар Венко Андоновски. Првата книга напишана на
псевдоархаичен јазик се одигрува во IX век и би можел да се означи како некој
вид филозофски крими роман во ековски манир; додека во вториот дел, во
„Дневникот“, една љубовна сторија во Југославија во втората половина на ХХ век ги
пресликува случувањата од првиот дел.",Романи,Венко Андоновски,ТРИ,,,360 ден.
АНТАБУС,"„Антабус“ раскажува за насилството над жените преку светогледот на петнаесетгодишната Лејла.
Таа е единствена ќерка во работничко семејство што емигрирало од Анадолија во Истанбул. И наместо на училиште, пратена е да работи во конфекција за да носи пари дома. Лејла почнува да ја живее сопствената трагична судбина и на овие страници ја раскажува непосредно, без китење или сокривање на што и да е. Суровата реалност на Лејла, која живее за да најде начин да избега од ситуацијата во која се наоѓа, нема да ве остави рамнодушни. Моќта на зборот на авторката Серај Шахинер е таква што чувствувате дека и туѓата болка боли.
Театарот „Татбикат Сахнеси“ ја изведува драмата адаптирана според овој роман и во 2016 година ја добива специјалната награда „Џеват Фехми Башкут“.",Романи,Серај Шахинер,Антолог-Боокс ДООЕЛ,,,250 ден.
СЕСТРАТА НА СОНЦЕТО,"Електра – најубавата, најбурната и најчуствителната од сестрите Д*Аплиез, изгледа како жена која има се*, слава, богатство, убавина! Но, после веста за смртта на Тате Солт, нејзината ментална состојба се влошува и таа бара утеха во алкохолот и дрогата. Додека сите околу неа се загрижени за нејзиното здравје, Електра добива писмо од непозната личност која тврди дека е нејзина баба…",Романи,Лусинда Рајли,Матица,,,550 ден.
БЕСПРЕКОРНО,"Правилата беа прости: да ги држи рацете подалеку од ќерката на неговиот агент и да не запаѓа во неволји. Да биде беспрекорен. А сега е принуден да го дели покривот со неа. И креветот. Но правилата се создадени за да бидат прекршени.
Рет Итон е најпознатиот родео-каубој во Канада и жените го обожаваат. Вистинска суперѕвезда. Или барем до неодамна, пред да биде вмешан во голем скандал што се заканува да ѝ стави предвремен крај на неговата блескава кариера. Агентот настојува да го среди имиџот, па затоа ја праќа ќерка си, Самер, да го следи во чекор до крајот на сезоната. На Рет не му треба дадилка – особено не толку убава, со припиени панталони и заводлива насмевка, која не умее да си ја држи устата затворена. Прекрасната уста за која тој не може да престане да размислува. Но Самер не е лесен плен, не е уште една цртка во долгиот список со заведени девојки. Таа проникнува зад неговата маска на самоуверен и себичен никаквец, го гледа неговото вистинско лице и нема намера да побегне. Самер се обидува да не ја пречекори границата, затоа што неговата репутација не би издржала уште еден удар – како и нејзиното срце, кое не би издржало уште болка. Но Рет е решен да ѝ го освои, колку и да го чини тоа.",Љубовни романи,Елси Силвер,Сакам книги,,,520 ден.
КРАЛИЦАТА ШАРЛОТА,"„Ние сме една круна. Неговата тежина е моја, а мојата е и негова…“
Во 1761, еден сончев септемвриски ден, еден крал и една кралица се сретнуваат за првпат. И се венчаваат во рок од неколку часа.
Родена како германска принцеза, Шарлота е прекрасна, тврдоглава и крајно интелигентна… а тоа не се баш особините кои Палатата ги посакува за сопругата на младиот крал Џорџ III. Но нејзиниот оган и независност се токму она што е потребно, бидејќи Џорџ има тајни… тајни со потенцијал да ги разнишаат темелите на монархијата.
Втурната во новата улога на кралица, Шарлота мора да се запознае со правилата и политиките додека истовремено си го штити срцето, бидејќи се вљубува во кралот, дури и покрај тоа што тој ја оттурнува од себе. А пред сѐ мора да научи да владее и да разбере дека ѝ е дадена моќ да направи огромни промени во општеството. Таа мора да се бори – за себе, за својот сопруг и за сите кои бараат помош и водство од неа. Затоа што таа никогаш повеќе нема да биде само Шарлота. Мора да ја следи својата судбина… како кралицата Шарлота.
Незаборавна романса од моќното дуо, напишана ексклузивно за Нетфликс.",Романи,,Сакам книги,,,520 ден.
ЦРВЕНО ОКО,"Петнаесетгодишниот Халим дете на марокански родители родено во Стокхолм секојдневно води дневник кој претставува жива слика на неговата конфузија пред светот во потрага по сопственото место во него. И како да не му е доволно прекршувањето меѓу шведскиот и арапскиот менталитет го погодуваат и пубертетски маки проблеми во училиштето и вљубувањето. Пловејќи низ животот и трудејќи се да не се удави во болните спомени за мајка си Халим се справува со сето тоа како што знае и умее. Си зацртува две цели: да ја освои Марит и да ги сочува своите корени да се спротивстави на „пошведувањето“ и интеграцијата во општеството кое не го доживува како свој културен простор. Но претставата што овој тинејџер роден во Шведска ја има за арапскиот свет е всушност стереотипна и западњачка претстава за Ориентот.
Но набрзо ќе ја проѕре суровоста на светот и апатијата на својот татко, кој се откажал од Борбата. И кога ќе сфати како моќта на Алах е поврзана со судбината и зошто интелектуалците личат на куци камили, Халим кове план: да стане најмоќен револуционерен црноглавец во Шведска и мислечки султан кој ги открива кодовите и ги освојува најубавите женски...",Романи,Јонас Хасен Кемири,Паблишер,,,320 ден.
ДОГОВОР ЗА ЉУБОВ,"Деклан: Судено ми е да станам директор на семејната медиумска империја. Има само еден проблем. Клаузулата за наследство на дедо ми. Исполнувањето на неговата последна желба – да се оженам и да му дадам наследник – ми се чинеше невозможно сѐ додека мојата асистентка не волонтираше за позицијата. Нашиот брак требаше да биде совршено решение на мојот најголем проблем. Но колку повеќе глумиме дека сме заљубени пред други, толку понесигурен станувам за нашиот договор. Развивањето чувства за Ирис никогаш не беше дел од спогодбата. Особено не кога знам дека е неизбежно да ѝ го скршам срцето.
Ирис: Мојот план да се омажам со Деклан во теорија беше прилично едноставен. Ќе се вселиме заедно. Ќе организираме свадба. Ќе направиме дете. Поставивме дури и одредени правила за да избегнеме какви било проблеми. Правила кои не требаше да бидат прекршени, без оглед на тоа колку Деклан ќе ме искушува. Но што кога нашата фиктивна врска почнува да се претопува во вистинска? Вљубувањето никогаш не беше опција. Барем не за мене.",Романи,Лорен Ашер,Сакам книги,,,490 ден.
ПОСЛЕДНИОТ ПРЕЖИВЕАН,,Трилери,Тес Геритсен,Матица,,,490 ден.
КАКО НАМЌОРОТ ГО СПАСИ БОЖИЌ,"Изабел Кук има сериозен проблем. Нејзината семејна фарма, местото каде што воедно се одржува еден од најважните традиционални настани во Тиликум, Божиќното село, е во неволја. Голема неволја. А најлошото од сѐ е што човекот којшто се обидува да ја купи фармата е најголемиот намќор на светот – Илајас Стоунхарт. Нема теоретски шанси. Таа нема намера да му дозволи ни да им се приближи. Не со тоа негово камено срце.
Илајас е заинтересиран само за стекнување богатство, не пријатели. Особено откако неговиот шеф му го ветува долгоочекуваното унапредување. Сѐ што треба да направи е да убеди едно семејство, на кое бизнисот секако не му оди добро, да ја продаде фармата. Проблемот? Фармата е на семејството Кук. А Изабел Кук му е поранешна девојка.
И покрај тоа што има минато со Изабел, ова е само бизнис. И нема намера да дозволи една фармерка која го обожава Божиќ да застане помеѓу него и неговите амбиции. А Божиќ? Па тој го мрази! Божиќното село е глупост. Но кога доаѓа во малиот град, божиќниот дух – и Изабел – почнуваат да му се пикаат под кожа. И има шанси таа да е единствената која може да го стопи мразот на неговото ледено срце.",Љубовни романи,Клер Кингсли,Сакам книги,,,470 ден.
